id,name,description,cost,image,category
1,Тигр,"дитяча іграшка з штучного хутра, тканини і набивного матеріалу. Раніше для набивання використовували солому, тирсу, стружку, вату, волокна бавовни тощо. Тепер використовуються сучасні матеріали: синтепон, синтетичні гранули тощо.",1234.5,tigr_1.jpg,1
2,Верблюд,"дитяча іграшка з штучного хутра, тканини і набивного матеріалу. Раніше для набивання використовували солому, тирсу, стружку, вату, волокна бавовни тощо. Тепер використовуються сучасні матеріали: синтепон, синтетичні гранули тощо.",4321.5,verblud_1.jpg,1
3,Їжачок,"дитяча іграшка з штучного хутра, тканини і набивного матеріалу. Раніше для набивання використовували солому, тирсу, стружку, вату, волокна бавовни тощо. Тепер використовуються сучасні матеріали: синтепон, синтетичні гранули тощо.",4324.5,yegik_1.jpg,1
4,Ківі,"дитяча іграшка з штучного хутра, тканини і набивного матеріалу. Раніше для набивання використовували солому, тирсу, стружку, вату, волокна бавовни тощо. Тепер використовуються сучасні матеріали: синтепон, синтетичні гранули тощо.",5223.5,qiwi_1.jpg,1
5,Лошадка,"дитяча іграшка з штучного хутра, тканини і набивного матеріалу. Раніше для набивання використовували солому, тирсу, стружку, вату, волокна бавовни тощо. Тепер використовуються сучасні матеріали: синтепон, синтетичні гранули тощо.",6435.5,loshadka_1.jpg,1
6,Єдиноріг,"дитяча іграшка з штучного хутра, тканини і набивного матеріалу. Раніше для набивання використовували солому, тирсу, стружку, вату, волокна бавовни тощо. Тепер використовуються сучасні матеріали: синтепон, синтетичні гранули тощо.",2534.5,yedinorog_1.jpg,1
7,"Барби 1","«Настоящее имя» Барби — Барбара Миллисент Робертс. В 1960-е её персональная легенда гласила, что она происходила из городка Уиллоус, штат Висконсин, и выросла в семье Джорджа и Маргарет Робертс. В 1990-е биография Барби изменилась: с выпуском новой «урбанистической» серии Generation Girls Барби была объявлена уроженкой Нью-Йорка",4314.5,barbi-1_2.jpg,2
8,"Барби 2","«Настоящее имя» Барби — Барбара Миллисент Робертс. В 1960-е её персональная легенда гласила, что она происходила из городка Уиллоус, штат Висконсин, и выросла в семье Джорджа и Маргарет Робертс. В 1990-е биография Барби изменилась: с выпуском новой «урбанистической» серии Generation Girls Барби была объявлена уроженкой Нью-Йорка",7446.5,barbi-2_2.jpg,2
9,"Барби 3","«Настоящее имя» Барби — Барбара Миллисент Робертс. В 1960-е её персональная легенда гласила, что она происходила из городка Уиллоус, штат Висконсин, и выросла в семье Джорджа и Маргарет Робертс. В 1990-е биография Барби изменилась: с выпуском новой «урбанистической» серии Generation Girls Барби была объявлена уроженкой Нью-Йорка",1331.5,barbi-3_2.jpg,2
10,"Барби 4","«Настоящее имя» Барби — Барбара Миллисент Робертс. В 1960-е её персональная легенда гласила, что она происходила из городка Уиллоус, штат Висконсин, и выросла в семье Джорджа и Маргарет Робертс. В 1990-е биография Барби изменилась: с выпуском новой «урбанистической» серии Generation Girls Барби была объявлена уроженкой Нью-Йорка",5225.5,barbi-4_2.jpg,2
11,"Барби 5","«Настоящее имя» Барби — Барбара Миллисент Робертс. В 1960-е её персональная легенда гласила, что она происходила из городка Уиллоус, штат Висконсин, и выросла в семье Джорджа и Маргарет Робертс. В 1990-е биография Барби изменилась: с выпуском новой «урбанистической» серии Generation Girls Барби была объявлена уроженкой Нью-Йорка",7721.5,barbi-5_2.jpg,2
12,"Барби 6","«Настоящее имя» Барби — Барбара Миллисент Робертс. В 1960-е её персональная легенда гласила, что она происходила из городка Уиллоус, штат Висконсин, и выросла в семье Джорджа и Маргарет Робертс. В 1990-е биография Барби изменилась: с выпуском новой «урбанистической» серии Generation Girls Барби была объявлена уроженкой Нью-Йорка",6224.5,barbi-6_2.jpg,2
